SPF;Update Function;Initialization;Threshold;Avg Lower Quota;Avg Gini;Avg Footrule;Avg KT;Std KT;Egalitarian KT;Total Number of Satisfaction Special Voter;Avg SQ KT
borda;kt;special-voter-25-percent;0;('borda', 'kt', 'special-voter-25-percent', 0, 0.5112666666666666);('borda', 'kt', 'special-voter-25-percent', 0, 0.6493164114677502);('borda', 'kt', 'special-voter-25-percent', 0, 6.044799999999999);('borda', 'kt', 'special-voter-25-percent', 0, 3.518422222222222);('borda', 'kt', 'special-voter-25-percent', 0, np.float64(0.3539408899595179));('borda', 'kt', 'special-voter-25-percent', 0, np.float64(4.542222222222223));('borda', 'kt', 'special-voter-25-percent', 0, 2.0);('borda', 'kt', 'special-voter-25-percent', 0, 15.643844444444444)
borda;kt;special-voter-25-percent;3;('borda', 'kt', 'special-voter-25-percent', 3, 0.9406444444444444);('borda', 'kt', 'special-voter-25-percent', 3, 0.11107577794992392);('borda', 'kt', 'special-voter-25-percent', 3, 6.044799999999999);('borda', 'kt', 'special-voter-25-percent', 3, 3.518422222222222);('borda', 'kt', 'special-voter-25-percent', 3, np.float64(0.3539408899595179));('borda', 'kt', 'special-voter-25-percent', 3, np.float64(4.542222222222223));('borda', 'kt', 'special-voter-25-percent', 3, 17.0);('borda', 'kt', 'special-voter-25-percent', 3, 15.643844444444444)
borda;kt;special-voter-25-percent;7;('borda', 'kt', 'special-voter-25-percent', 7, 0.9991111111111108);('borda', 'kt', 'special-voter-25-percent', 7, 0.013989801851625164);('borda', 'kt', 'special-voter-25-percent', 7, 6.044799999999999);('borda', 'kt', 'special-voter-25-percent', 7, 3.518422222222222);('borda', 'kt', 'special-voter-25-percent', 7, np.float64(0.3539408899595179));('borda', 'kt', 'special-voter-25-percent', 7, np.float64(4.542222222222223));('borda', 'kt', 'special-voter-25-percent', 7, 30.0);('borda', 'kt', 'special-voter-25-percent', 7, 15.643844444444444)
borda;sq-kt;equal;0;('borda', 'sq-kt', 'equal', 0, 0.49506666666666654);('borda', 'sq-kt', 'equal', 0, 0.6568960059752198);('borda', 'sq-kt', 'equal', 0, 6.041955555555555);('borda', 'sq-kt', 'equal', 0, 3.5133555555555556);('borda', 'sq-kt', 'equal', 0, np.float64(0.33966539686171365));('borda', 'sq-kt', 'equal', 0, np.float64(4.483333333333333));('borda', 'sq-kt', 'equal', 0, 1.0);('borda', 'sq-kt', 'equal', 0, 15.59162222222222)
borda;sq-kt;equal;3;('borda', 'sq-kt', 'equal', 3, 0.9343111111111111);('borda', 'sq-kt', 'equal', 3, 0.10719560201391799);('borda', 'sq-kt', 'equal', 3, 6.041955555555555);('borda', 'sq-kt', 'equal', 3, 3.5133555555555556);('borda', 'sq-kt', 'equal', 3, np.float64(0.33966539686171365));('borda', 'sq-kt', 'equal', 3, np.float64(4.483333333333333));('borda', 'sq-kt', 'equal', 3, 17.0);('borda', 'sq-kt', 'equal', 3, 15.59162222222222)
borda;sq-kt;equal;7;('borda', 'sq-kt', 'equal', 7, 0.9999777777777777);('borda', 'sq-kt', 'equal', 7, 0.013714488723168628);('borda', 'sq-kt', 'equal', 7, 6.041955555555555);('borda', 'sq-kt', 'equal', 7, 3.5133555555555556);('borda', 'sq-kt', 'equal', 7, np.float64(0.33966539686171365));('borda', 'sq-kt', 'equal', 7, np.float64(4.483333333333333));('borda', 'sq-kt', 'equal', 7, 30.0);('borda', 'sq-kt', 'equal', 7, 15.59162222222222)
borda;sq-kt;special-voter-25-percent;0;('borda', 'sq-kt', 'special-voter-25-percent', 0, 0.5112666666666666);('borda', 'sq-kt', 'special-voter-25-percent', 0, 0.6517435929639118);('borda', 'sq-kt', 'special-voter-25-percent', 0, 6.048755555555555);('borda', 'sq-kt', 'special-voter-25-percent', 0, 3.5195333333333325);('borda', 'sq-kt', 'special-voter-25-percent', 0, np.float64(0.34266637334631506));('borda', 'sq-kt', 'special-voter-25-percent', 0, np.float64(4.498888888888889));('borda', 'sq-kt', 'special-voter-25-percent', 0, 2.0);('borda', 'sq-kt', 'special-voter-25-percent', 0, 15.658688888888888)
borda;sq-kt;special-voter-25-percent;3;('borda', 'sq-kt', 'special-voter-25-percent', 3, 0.9508666666666666);('borda', 'sq-kt', 'special-voter-25-percent', 3, 0.10883076193641045);('borda', 'sq-kt', 'special-voter-25-percent', 3, 6.048755555555555);('borda', 'sq-kt', 'special-voter-25-percent', 3, 3.5195333333333325);('borda', 'sq-kt', 'special-voter-25-percent', 3, np.float64(0.34266637334631506));('borda', 'sq-kt', 'special-voter-25-percent', 3, np.float64(4.498888888888889));('borda', 'sq-kt', 'special-voter-25-percent', 3, 17.0);('borda', 'sq-kt', 'special-voter-25-percent', 3, 15.658688888888888)
borda;sq-kt;special-voter-25-percent;7;('borda', 'sq-kt', 'special-voter-25-percent', 7, 0.9991111111111108);('borda', 'sq-kt', 'special-voter-25-percent', 7, 0.013993114629656684);('borda', 'sq-kt', 'special-voter-25-percent', 7, 6.048755555555555);('borda', 'sq-kt', 'special-voter-25-percent', 7, 3.5195333333333325);('borda', 'sq-kt', 'special-voter-25-percent', 7, np.float64(0.34266637334631506));('borda', 'sq-kt', 'special-voter-25-percent', 7, np.float64(4.498888888888889));('borda', 'sq-kt', 'special-voter-25-percent', 7, 30.0);('borda', 'sq-kt', 'special-voter-25-percent', 7, 15.658688888888888)
borda;unit-cost;equal;0;('borda', 'unit-cost', 'equal', 0, 0.48544444444444446);('borda', 'unit-cost', 'equal', 0, 0.64318665813462);('borda', 'unit-cost', 'equal', 0, 6.0330666666666675);('borda', 'unit-cost', 'equal', 0, 3.507711111111111);('borda', 'unit-cost', 'equal', 0, np.float64(0.36758841610661813));('borda', 'unit-cost', 'equal', 0, np.float64(4.583333333333334));('borda', 'unit-cost', 'equal', 0, 2.0);('borda', 'unit-cost', 'equal', 0, 15.569622222222222)
